anbieter_name,tarif_name,besonderheiten_json,geburtsjahr,summe_eur,beitrag_eur
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1948,10000,95.30
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1948,5000,59.89
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1948,8000,95.82
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1948,10000,119.78
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1949,5000,71.64
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1949,8000,114.62
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1949,10000,143.28
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1949,5000,45.85
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1949,8000,73.36
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1949,10000,91.70
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1949,5000,56.03
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1949,8000,89.65
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1949,10000,112.06
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1950,5000,64.79
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1950,8000,103.66
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1950,10000,129.58
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1950,5000,43.51
